"Name","DisplayName"
"Microsoft.549981C3F5F10","Cortana"
"Microsoft.BingWeather","天気"
"Microsoft.DesktopAppInstaller","アプリ インストーラー"
"Microsoft.GetHelp","問い合わせ"
"Microsoft.Getstarted","ヒント"
"Microsoft.HEIFImageExtension","HEIF 画像拡張機能"
"Microsoft.Microsoft3DViewer","3D ビューアー"
"Microsoft.MicrosoftOfficeHub","Office, LocalBridge"
"Microsoft.MicrosoftSolitaireCollection","Microsoft Solitaire Collection"
"Microsoft.MicrosoftStickyNotes","Sticky Notes"
"Microsoft.MixedReality.Portal","Mixed Reality ポータル"
"Microsoft.MSPaint","ペイント 3D"
"Microsoft.Office.OneNote","OneNote"
"Microsoft.People","People"
"Microsoft.Print3D","Print 3D"
"Microsoft.ScreenSketch","切り取り & スケッチ"
"Microsoft.SkypeApp","Skype"
"Microsoft.StorePurchaseApp","Microsoft Store エクスペリエンス ホスト"
"Microsoft.VCLibs.140.00","Microsoft Visual C++ 2015 UWP Runtime Package"
"Microsoft.VCLibs.140.00","Microsoft Visual C++ 2015 UWP Runtime Package"
"Microsoft.VP9VideoExtensions","VP9 ビデオ拡張機能"
"Microsoft.Wallet","Microsoft Pay"
"Microsoft.WebMediaExtensions","Web メディア拡張機能"
"Microsoft.WebpImageExtension","Webp 画像拡張機能"
"Microsoft.Windows.Photos","フォト"
"Microsoft.WindowsAlarms","アラーム & クロック"
"Microsoft.WindowsCalculator","電卓"
"Microsoft.WindowsCamera","カメラ"
"microsoft.windowscommunicationsapps","メール, カレンダー, メール/カレンダー アカウント"
"Microsoft.WindowsFeedbackHub","フィードバック Hub"
"Microsoft.WindowsMaps","マップ"
"Microsoft.WindowsSoundRecorder","ボイス レコーダー"
"Microsoft.WindowsStore","Microsoft Store"
"Microsoft.Xbox.TCUI","Xbox Live"
"Microsoft.XboxApp","Xbox"
"Microsoft.XboxGameOverlay","Xbox Game bar"
"Microsoft.XboxGamingOverlay","Xbox Game Bar"
"Microsoft.XboxIdentityProvider","Xbox Identity Provider"
"Microsoft.XboxSpeechToTextOverlay","Xbox Game Speech Window"
"Microsoft.YourPhone","スマホ同期アプリ"
"Microsoft.ZuneMusic","Groove ミュージック"
"Microsoft.ZuneVideo","映画 & テレビ"
